S.no,college id,Name,NIRF Ranking,Fees(in lakhs)
1,101,IIT Madras,1,9.38 Lakh
2,102,IIT Delhi,2,4.47 Lakh
3,103,IIT Bombay,3,8.55 Lakh
4,104,IIT Kharagpur,4,8.34 Lakh
5,105,IIT Khanpur,5,8.27 Lakh
6,106,IIT Roorkee,6,8.42 Lakh
7,107,IIT Guwahati,7,8.61 Lakh
8,108,IIT Hyderabad,8,8.64 Lakh
9,109,CEG-College of Engineering Guindy,9,8 Lakh
10,110,NIT Trichy,10,7.42 Lakh
,,,,
1,111,SRCC-Shri Ram College of Commerce,1,"93,300"
2,112,Hindu College,2,"16,275"
3,113,Hansraj College,3,"60,945"
4,114,Kirori Mai College-KMC,4,"27,510"
5,115,Christ,5,2.45 Lakh
6,116,Loyola College,6,"37,500"
7,117,MCC-Madras Christian College,7,"40,000"
8,118,St.Joseph's College of Commerce,8,2.06Lakh
9,119,SVC-Sri Venkateswara College,9,"33,680"
10,120,Atma Ram Sanatan Dharma College,10,"28,305"
,,,,
1,121,"All India Institute of Medical Sciences,New Delhi",1,1.6 Lakh
2,122,"Postgraduate Institute of Medical Education and Research,Chandigarh",2,1.5 Lakh
3,123,CMC Vellore-Christian Medical College,3,1.67 Lakh
4,124,Sanjay Gandhi Postgraduate Institute of Medical Sciences,4,2.08 Lakh
5,125,Amrita Vishwa Vidyapeetham,5,1.9 Lakh
6,126,"Institute of Medical Sciences,BHU",6,1.54 Lakh
7,127,KMC-Kasturba Medical College,7,1.45 Lakh
8,128,JIPMER Puducherry,8,"34,500"
9,129,ILBS Delhi-Institute of Liver and Biliary Sciences,9,1.2 Lakh
10,130,KGMU-King Georges Medical University,10,1.1 Lakh
,,,,
1,131,NLSIU Bangalore-National Law School of India University,1,10 Lakh
2,132,NLU Hyderabad-Nalsar University of Law,2,10.60 Lakh
3,133,NLU kolkata-The west Bengal National University of Juridical Sciences,3,10.83 Lakh
4,134,Law Center-1 University of Delhi,4,11 Lakh
5,135,NLU Delhi(NLUD)-Natonal Law University,5,4.28 Lakh
6,136,NLIU Bhopal-The National Law Institute University,6,11.41Lakh
7,137,BHU-Bananras Hindu University,7,13 Lakh
8,138,"Symbiosis International,Pune-Viman Nagar Campus",8,12.5 Lakh
9,139,ILS Law College,9,1.89Lakh
10,140,HNLU Raipur-Hidayatullah National Law University,10,6.70Lakh
,,,,
1,141,St.Stephen's College,1,1.05 Lakh
2,142,Hindu College,2,"14,175"
3,143,Miranda House,3,"21,690"
4,144,Kirori Mal College-KMC,4,"27,660"
5,145,MCC-Madras Christian College,5,"30,000"
6,146,Hansraj College,6,"61,665"
7,147,Loyola College,7,"45,000"
8,148,Christ,8,2.42 Lakh
9,149,Indraprastha College for Women,9,"49,335"
10,150,Gargi College,10,"24,165"
,,,,
1,151,NIFT Navi Mumbai,1,"50,000"
2,152,NIFT Delhi,2,"45,000"
